"Category","people","id","opportunity.x","percentile.x","cutoff.x","accessibility.x","opportunity.y","percentile.y","cutoff.y","accessibility.y","geometry","change"
"Population",500,"82",NA,50,45,37419.3229194643,NA,50,45,43672.2488131785,c(-122.809287824946, 49.1333370105577),6252.9258937142
"Population",500,"83",NA,50,45,23548.0529325274,NA,50,45,24175.1936747596,c(-122.82419625065, 49.1472839292204),627.140742232201
"Population",500,"84",NA,50,45,15758.0373215865,NA,50,45,16194.0650143482,c(-123.264580399769, 49.3485258401442),436.0276927617
"Population",500,"85",NA,50,45,616.692810859238,NA,50,45,616.692810859238,c(-122.537622429704, 49.2170060400885),0
"Population",500,"86",NA,50,45,177173.715630794,NA,50,45,197547.710381675,c(-123.055466927255, 49.266652109353),20373.994750881
"Population",500,"87",NA,50,45,104055.263594882,NA,50,45,114039.516256684,c(-123.038476131739, 49.2202876072079),9984.25266180201
"Population",500,"88",NA,50,45,115184.291950029,NA,50,45,122261.783004805,c(-123.140343369499, 49.163966883479),7077.49105477599
"Population",500,"89",NA,50,45,37367.884570278,NA,50,45,38061.1156183398,c(-122.861611126168, 49.1310473289752),693.231048061796
"Population",500,"90",NA,50,45,0,NA,50,45,0,c(-122.31413408485, 49.3365564895602),0
"Population",500,"91",NA,50,45,235547.189038306,NA,50,45,249632.158967134,c(-123.104791904686, 49.2817945228191),14084.969928828
"Population",500,"92",NA,50,45,45030.5475366905,NA,50,45,47587.3895771292,c(-122.837035454759, 49.1404735115266),2556.8420404387
"Population",500,"93",NA,50,45,39995.6119892767,NA,50,45,40578.760366615,c(-122.867691012189, 49.1358776187192),583.148377338301
"Population",500,"94",NA,50,45,191894.55148446,NA,50,45,209818.394040343,c(-123.045998197121, 49.2394919108646),17923.842555883
"Population",500,"95",NA,50,45,24195.412600129,NA,50,45,43203.7248565752,c(-122.915546214293, 49.2733191053432),19008.3122564462
"Population",500,"96",NA,50,45,19367.0961024714,NA,50,45,20984.3892106102,c(-122.936360381467, 49.1536567342254),1617.2931081388
"Population",500,"97",NA,50,45,127274.81217272,NA,50,45,177312.850723456,c(-123.013166261136, 49.2799585045082),50038.038550736
"Population",500,"98",NA,50,45,48522.1443380513,NA,50,45,50813.8658561444,c(-123.169919180101, 49.1441678762428),2291.7215180931
"Population",500,"99",NA,50,45,162703.892477223,NA,50,45,174496.596643324,c(-123.136318842828, 49.172502623272),11792.704166101
"Population",500,"100",NA,50,45,0,NA,50,45,0,c(-122.806289984346, 49.2122564113321),0
"Population",500,"101",NA,50,45,84232.264566786,NA,50,45,95674.4403199655,c(-122.945334758797, 49.2201095997255),11442.1757531795
"Population",500,"102",NA,50,45,16391.2071567486,NA,50,45,22942.6250557472,c(-122.771676322702, 49.1465142540301),6551.4178989986
"Population",500,"103",NA,50,45,13614.6895512182,NA,50,45,13880.9885295736,c(-123.192269593971, 49.1567552792269),266.2989783554
"Population",500,"104",NA,50,45,110979.839609644,NA,50,45,122400.954758757,c(-123.170025315608, 49.252780372118),11421.115149113
"Population",500,"105",NA,50,45,227721.388125882,NA,50,45,250174.578631464,c(-123.005652927877, 49.2244336181448),22453.190505582
"Population",500,"106",NA,50,45,163969.10726433,NA,50,45,189022.172362611,c(-123.153455873935, 49.2563723249605),25053.065098281
"Population",500,"107",NA,50,45,6979.98342490768,NA,50,45,6979.98342490768,c(-122.570313233066, 49.2435199705802),0
"Population",500,"108",NA,50,45,48305.5146619462,NA,50,45,50597.2361800394,c(-123.16918662645, 49.1466364519317),2291.7215180932
"Population",500,"109",NA,50,45,15986.1146808977,NA,50,45,16047.4873199577,c(-122.789035164246, 49.0524096635646),61.3726390600004
"Population",500,"110",NA,50,45,22081.3400029916,NA,50,45,22509.4667306119,c(-123.172907799508, 49.1423748518879),428.1267276203
"Population",500,"111",NA,50,45,4896.53058539902,NA,50,45,5176.66296627909,c(-122.622897859396, 49.132519017848),280.13238088007
"Population",500,"112",NA,50,45,35974.0226599738,NA,50,45,37216.1732199078,c(-122.79618968041, 49.2622164264132),1242.150559934
